id,name,chain,type,seat,location,menu items,rate
11786,HABITAT COFFEE SHOP,FALSE,Cafe,26,1,15,3
11787,REILLY'S,FALSE,Restaurant,9,0,9,3
11788,STREET CHURROS,FALSE,Fast Food,20,1,9,2.5
11789,TRINITI ECHO PARK,FALSE,Restaurant,22,1,15,4.5
11790,POLLEN,FALSE,Restaurant,20,1,9,3
11791,THE SPOT GRILL,FALSE,Restaurant,14,0,9,3
11792,CPK,FALSE,Restaurant,100,1,20,5
11793,PHO LALA,FALSE,Restaurant,7,0,9,3
11794,ABC DONUTS,TRUE,Fast Food,1,0,9,2.5
11795,UPSTAIRS,FALSE,Restaurant,35,1,9,3
11796,EL POLLO LOCO,TRUE,Restaurant,38,1,20,5
11797,POONG NYUN BAKERY,TRUE,Bakery,17,1,12,3
11798,EMC RESTAURANT GROUP LLC,TRUE,Restaurant,133,1,20,5
11799,POPULAR DONUTS,FALSE,Fast Food,18,1,12,2.5
11800,CUSCATLECA BAKERY,TRUE,Bakery,26,1,15,3
11801,FOOD COURT TRAY WASHING AREA,TRUE,Restaurant,21,1,15,4.5
11802,HMS BOUNTY,FALSE,Restaurant,147,1,20,5
11803,AN'S CHAN BANG,FALSE,Restaurant,10,0,9,3
11804,MURAKAMI,FALSE,Restaurant,139,1,20,5
11805,DELTA SKY CLUB T3,FALSE,Restaurant,103,1,20,5
11806,CRYSTAL CAFE,FALSE,Restaurant,16,1,12,4
11807,ORANGE TREE CAFE,FALSE,Restaurant,14,0,9,3
11808,CAMY'S GRILL,FALSE,Restaurant,39,1,20,5
11809,SABORES DEL PERU,FALSE,Restaurant,4,0,9,3
11810,M CAFE DE CHAYA,TRUE,Restaurant,43,1,20,5
11811,INDIA'S GRILL,FALSE,Restaurant,48,1,20,5
11812,LA INDIA BONITA CAFE,FALSE,Restaurant,19,1,12,4
11813,NORM'S RESTAURANT,TRUE,Restaurant,80,1,20,5
11814,BEVERLY FALAFEL,FALSE,Restaurant,31,1,15,4.5
